months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
241,43,792711,1993-10-31,IN,250/500,2000,1655.02,-13639,469785,FEMALE,MD,adm-clerical,dancing,other-relative,1930,0,2015-02-22,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Northbrook,3930 Embaracadero St,6,1,YES,0,3,NO,79864,16045,4372,62906,Audi,C300,2012,Y
360,30,265630,2003-08-16,IN,250/500,500,1621.08,-4238,469637,FEMALE,MD,prof-specialty,camping,wife,70612,-36631,2015-02-21,Multi-vehicle Collision,Front Collision,Minor Damage,Police,SC,Northbrook,4826 5th St,20,1,NO,2,3,YES,85520,6505,6785,72342,Audi,Impreza,2000,N
76,45,999435,1999-10-19,IL,100/300,974,1314.33,4001419,476776,MALE,College,armed-forces,basketball,wife,67688,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Columbus,8638 3rd Ave,22,2,NO,2,0,NO,7600,7887,205,37224,Toyota,Highlander,1997,N
360,46,446492,1991-11-03,OH,500/1000,959,1722.45,-169990,593034,MALE,College,protective-serv,cross-fit,not-in-family,32905,0,2015-02-23,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Northbrook,5226 Maple St,1,1,YES,1,0,NO,102740,13125,6959,50590,Chevrolet,MDX,2015,N
301,35,993800,2002-12-28,OH,250/500,1049,1450.89,16370,466819,MALE,College,exec-managerial,polo,own-child,975,0,2015-02-15,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Arlington,7042 Maple Ridge,18,3,YES,2,3,U,57831,3922,4649,25273,Mercedes,MDX,2003,N
232,35,847239,1994-06-07,OH,100/300,1045,1478.65,103707,619190,MALE,JD,prof-specialty,basketball,wife,75675,-38762,2015-01-01,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Hillsdale,3486 Flute Ave,4,1,YES,2,2,NO,70713,5942,15534,45806,Accura,Highlander,2008,Y
342,49,100804,1999-09-29,IL,250/500,510,1510.67,17381,466888,FEMALE,MD,exec-managerial,exercise,unmarried,0,0,2015-01-10,Multi-vehicle Collision,Side Collision,Major Damage,Other,NC,Northbend,3122 Apache Drive,10,3,YES,1,2,U,48347,4428,7762,20197,Chevrolet,3 Series,2002,N
382,22,296344,2000-11-05,IN,250/500,1972,1712.81,-45809,430104,MALE,Associate,transport-moving,kayaking,wife,0,-897,2015-02-28,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,Arlington,6149 Best Ridge,2,1,U,1,3,U,84321,6503,16681,23217,Chevrolet,Malibu,1995,N
113,22,999435,1992-01-30,IL,250/500,933,1798.94,7434401,602116,FEMALE,JD,exec-managerial,video-games,wife,40315,0,2015-02-26,Parked Car,U,Minor Damage,None,NY,Springfield,2986 MLK Drive,16,1,NO,2,2,NO,7204,2684,2404,9977,Toyota,Camry,2003,N
175,31,714187,2002-06-25,OH,500/1000,500,1722.23,-87375,462523,FEMALE,PhD,transport-moving,chess,husband,0,0,2015-02-10,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Northbrook,9103 MLK Lane,20,1,U,0,1,NO,45840,8381,11244,39083,Dodge,Grand Cherokee,1996,N
199,47,693448,1992-02-29,OH,100/300,1957,1641.8,25755,483754,FEMALE,MD,craft-repair,golf,own-child,69618,-45669,2015-02-23,Single Vehicle Collision,Rear Collision,Major Damage,Police,SC,Hillsdale,4905 Best Lane,17,1,NO,2,2,YES,85721,8225,18784,49361,Dodge,C300,2004,Y
472,31,886090,1997-09-16,IN,500/1000,978,1975.84,-22417,448212,FEMALE,JD,prof-specialty,camping,unmarried,34563,0,2015-02-03,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Northbend,9787 Andromedia Ave,23,1,U,2,2,NO,61102,17025,5648,31491,BMW,Neon,2000,Y
146,29,740377,2007-03-25,OH,500/1000,974,1798.06,71072,460877,MALE,Masters,sales,camping,wife,2125,0,2015-01-03,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,SC,Columbus,9847 Elm St,20,3,U,1,3,YES,80170,20665,18980,61172,Suburu,Pathfinder,2001,N
94,20,795852,1992-04-28,IN,250/500,991,746.1,4713,495367,FEMALE,College,adm-clerical,skydiving,wife,2504,-41344,2015-01-06,Single Vehicle Collision,Rear Collision,Major Damage,Fire,WV,Columbus,3834 Pine St,6,3,U,2,2,U,78279,13797,1676,69120,Audi,Malibu,2007,N
428,41,491301,1993-08-30,IN,250/500,550,1873.33,-793,430104,FEMALE,Associate,sales,movies,wife,0,0,2015-01-14,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NC,Northbrook,6738 Washington Hwy,1,1,NO,2,2,U,114920,3777,9440,44523,Volkswagen,Highlander,1996,N
236,28,632505,2002-04-12,OH,500/1000,2000,1704.9,11386,467096,FEMALE,Associate,sales,movies,other-relative,79986,0,2015-01-21,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,9529 4th Drive,20,1,NO,1,1,NO,85587,14356,7023,69425,BMW,RAM,2010,N
260,41,755227,1999-10-19,OH,250/500,973,1754.13,51285,458194,FEMALE,MD,transport-moving,dancing,wife,0,0,2015-01-06,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Northbrook,4876 Washington Drive,15,3,YES,2,1,U,39420,6464,7027,52546,Jeep,E400,1997,Y
408,21,959472,2001-05-08,IL,250/500,968,1572.47,189165,444947,FEMALE,High School,tech-support,exercise,unmarried,80735,0,2015-02-20,Parked Car,U,Trivial Damage,None,WV,Northbrook,7825 1st Ridge,7,1,U,2,3,NO,2715,1273,587,3917,Dodge,Highlander,2011,N
352,42,598800,2001-06-09,OH,100/300,500,1688.71,93444,620962,FEMALE,Associate,protective-serv,golf,other-relative,74407,-733,2015-01-21,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NY,Hillsdale,9316 Pine Ave,19,1,YES,2,3,NO,56641,5076,18105,52193,Ford,E400,2012,N
298,26,619685,2002-11-28,IN,500/1000,1010,1706.59,-21363,488409,FEMALE,MD,armed-forces,hiking,unmarried,1538,-33569,2015-01-17,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Hillsdale,7135 Flute Lane,4,1,U,2,3,U,40156,8278,7976,30496,Audi,TL,2005,N
289,23,209044,1999-09-20,IL,500/1000,976,1791.21,75948,604374,FEMALE,Masters,tech-support,base-jumping,other-relative,68602,-26752,2015-02-17,Parked Car,U,Trivial Damage,None,NY,Northbrook,2889 Weaver St,9,1,U,1,2,U,16908,1607,2403,5835,Nissan,Malibu,1995,N
479,41,161159,1995-05-04,OH,500/1000,500,1359.8,-104158,620962,FEMALE,Masters,farming-fishing,kayaking,not-in-family,537,-53888,2015-01-09,Multi-vehicle Collision,Side Collision,Total Loss,Fire,VA,Arlington,8917 Tree Ridge,15,3,YES,2,3,U,97461,17023,5886,69134,Suburu,E400,1998,Y
418,28,698463,2004-09-19,IN,250/500,525,2024.4,-154554,443480,MALE,Masters,sales,movies,not-in-family,40347,-64518,2015-01-07,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Springfield,9523 Solo Hwy,14,1,NO,0,3,U,96068,16667,8524,40910,Chevrolet,Impreza,1995,N
197,28,445452,2007-04-30,IL,250/500,2000,1314.03,106613,475624,FEMALE,MD,armed-forces,paintball,husband,1106,-42564,2015-02-20,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Hillsdale,7828 Cherokee Ave,8,1,NO,2,2,U,68166,3654,7434,36538,BMW,A3,2003,N
263,25,999435,2003-01-18,OH,250/500,1016,1251.44,7233164,620962,FEMALE,MD,adm-clerical,video-games,wife,1617,0,2015-02-09,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Arlington,9293 Pine Lane,18,1,U,2,2,NO,49071,6468,15957,44580,Volkswagen,RAM,2006,Y
143,32,588576,2011-01-31,OH,500/1000,929,1494.0,3566,617599,MALE,Associate,priv-house-serv,camping,husband,0,0,2015-01-17,Parked Car,U,Total Loss,None,WV,Northbend,7783 Lincoln Hwy,7,1,NO,2,2,NO,12167,1780,2102,8917,Toyota,3 Series,2015,N
276,33,999435,1990-10-02,IN,250/500,2000,1579.94,-77111,459247,MALE,Associate,handlers-cleaners,dancing,not-in-family,992,0,2015-02-08,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Riverwood,3167 4th Ridge,7,3,U,2,2,NO,43477,8460,8249,40269,Suburu,TL,2003,N
398,39,395580,2011-07-15,IL,500/1000,941,1562.43,4599666,608171,FEMALE,Associate,craft-repair,board-games,husband,0,0,2015-01-24,Vehicle Theft,U,Trivial Damage,Police,NC,Arlington,9744 Texas Drive,6,1,U,0,3,U,12215,2099,1397,5732,Nissan,Silverado,2008,N
179,33,548969,2008-11-07,IL,250/500,1006,1583.1,4648903,613777,FEMALE,PhD,priv-house-serv,video-games,husband,646,0,2015-02-13,Parked Car,U,Trivial Damage,None,WV,Arlington,5985 Lincoln Lane,6,1,YES,1,1,NO,11309,851,795,4071,Toyota,3 Series,2000,N
244,43,356057,1994-08-21,IN,100/300,989,951.53,4714658,614514,FEMALE,MD,armed-forces,camping,unmarried,38550,0,2015-02-05,Parked Car,Side Collision,Minor Damage,Fire,SC,Riverwood,4614 MLK Ave,13,1,YES,2,3,U,104380,0,0,4972,Saab,3 Series,1997,N
161,35,662694,1995-12-07,IL,250/500,500,1430.56,42402,461607,MALE,College,machine-op-inspct,skydiving,other-relative,368,0,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Hillsdale,7877 3rd Ridge,3,1,NO,2,0,NO,88877,7935,14544,41111,Suburu,Forrestor,2000,N
343,19,869157,1991-08-22,IN,500/1000,950,1764.11,53130,438783,MALE,Masters,exec-managerial,dancing,wife,1447,0,2015-01-05,Vehicle Theft,U,Minor Damage,None,SC,Northbrook,8586 1st Ridge,2,1,U,2,2,NO,4618,1550,2512,10170,Honda,CRV,2001,N
135,43,702803,1994-08-17,OH,100/300,500,1311.75,3948387,620962,MALE,Masters,armed-forces,reading,unmarried,53426,0,2015-01-28,Parked Car,Side Collision,Minor Damage,Fire,VA,Hillsdale,9369 Flute Hwy,12,1,NO,1,0,U,12912,7646,1022,47295,Mercedes,3 Series,2005,N
178,23,686509,2006-07-12,IL,250/500,575,1179.51,58226,439014,MALE,MD,adm-clerical,paintball,other-relative,57080,-78078,2015-01-22,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,3167 4th Ridge,17,1,U,1,1,YES,89592,7152,5621,32371,Accura,Fusion,2001,N
463,25,999435,2006-02-06,OH,250/500,1929,2047.59,21401,462901,FEMALE,JD,armed-forces,base-jumping,unmarried,36242,0,2015-02-06,Multi-vehicle Collision,Side Collision,Total Loss,Fire,VA,Arlington,3066 Francis Ave,17,1,U,1,0,U,71929,18681,17973,42413,Chevrolet,Malibu,1995,N
234,20,919589,1991-02-11,OH,250/500,2000,1727.54,4886994,475889,FEMALE,JD,handlers-cleaners,bungie-jumping,not-in-family,69043,0,2015-02-10,Multi-vehicle Collision,Rear Collision,Major Damage,Police,SC,Arlington,8064 4th Ave,23,1,U,2,3,NO,2702,13393,1604,44640,Toyota,Civic,2008,Y
365,38,891767,1992-02-29,OH,250/500,961,1572.61,-63362,479857,FEMALE,Associate,tech-support,video-games,unmarried,51994,0,2015-02-01,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbrook,2697 Oak Drive,2,3,YES,2,0,YES,78957,13246,18021,36645,Nissan,Forrestor,2003,N
240,25,942016,1995-10-12,IN,500/1000,961,1573.98,96869,616943,FEMALE,Masters,machine-op-inspct,movies,unmarried,2265,0,2015-01-24,Vehicle Theft,U,Trivial Damage,None,VA,Riverwood,9787 Andromedia Ave,18,1,U,1,3,NO,8257,1497,2002,9112,Toyota,Grand Cherokee,2000,N
281,34,274739,1990-03-14,OH,100/300,989,1489.14,69761,598453,FEMALE,Masters,armed-forces,exercise,unmarried,1768,-32557,2015-01-21,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Arlington,5663 Oak Lane,15,1,U,2,0,YES,64061,5373,7506,31457,Accura,Civic,1998,N
286,41,268473,2002-07-16,OH,500/1000,500,1114.69,4084947,608901,MALE,High School,prof-specialty,video-games,wife,0,0,2015-01-13,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Springfield,2725 Britain Ridge,3,1,U,2,3,NO,81792,9605,1778,39645,Nissan,Highlander,2013,N
344,28,956351,2011-09-27,OH,500/1000,993,1787.02,-127684,620962,FEMALE,Masters,machine-op-inspct,sleeping,unmarried,78182,0,2015-01-19,Multi-vehicle Collision,Side Collision,Major Damage,Police,NY,Arlington,6390 Apache St,7,1,NO,2,3,NO,81504,11609,5695,51688,Saab,Legacy,1998,Y
235,49,902998,1995-03-28,OH,500/1000,982,1575.37,8910650,431626,FEMALE,MD,protective-serv,base-jumping,other-relative,2030,0,2015-02-06,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,6309 Cherokee Ave,21,4,YES,1,2,NO,76076,18440,7944,50483,Jeep,Escape,1995,N
221,41,540569,1995-03-28,IN,100/300,500,1875.23,8278520,446903,MALE,MD,craft-repair,reading,unmarried,0,0,2015-02-24,Multi-vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbend,5771 Best St,9,1,U,2,3,U,76962,16051,6854,44530,Volkswagen,Silverado,2003,N
353,39,882029,2002-09-10,OH,250/500,991,1093.82,50162,607865,MALE,JD,tech-support,movies,not-in-family,3633,-30845,2015-02-22,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbrook,9169 Cherokee Hwy,10,3,YES,0,3,NO,108078,15122,7196,51884,Suburu,MDX,2001,N
479,35,373648,2010-03-11,OH,500/1000,996,1578.04,183529,430104,MALE,High School,tech-support,kayaking,own-child,49694,0,2015-02-15,Single Vehicle Collision,Side Collision,Minor Damage,Police,PA,Arlington,4519 Embaracadero St,14,1,U,1,2,U,76521,14983,7700,49353,Nissan,Camry,1995,N
119,52,446432,2007-04-19,IN,250/500,500,1203.49,-74071,449506,MALE,High School,sales,golf,unmarried,43555,-31120,2015-01-14,Parked Car,Side Collision,Total Loss,Police,SC,Hillsdale,2787 MLK St,4,3,YES,0,3,YES,60781,0,464,6951,Honda,A5,1998,N
55,32,999435,1996-12-18,OH,250/500,500,1703.94,53003,474184,FEMALE,MD,armed-forces,chess,husband,63775,0,2015-02-18,Parked Car,U,Minor Damage,Ambulance,VA,Northbrook,4814 Lincoln Lane,7,3,U,1,3,U,85612,9694,8673,48137,Chevrolet,ML350,2007,N
342,51,967356,1996-09-21,IN,500/1000,958,1607.19,13879,470974,MALE,Masters,transport-moving,kayaking,unmarried,62650,0,2015-02-06,Multi-vehicle Collision,Side Collision,Total Loss,Other,NC,Hillsdale,8991 Embaracadero Ave,15,3,NO,2,3,U,78652,9183,6611,36653,Audi,Jetta,2009,N
303,35,865284,1999-09-29,IL,250/500,1052,1679.62,94695,430104,FEMALE,JD,craft-repair,chess,not-in-family,0,0,2015-02-27,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,2352 Sky Drive,11,1,YES,1,3,NO,68689,3061,7997,39214,Accura,Wrangler,2009,N
116,27,398978,2012-08-30,IN,250/500,1032,1775.59,-133943,451945,MALE,JD,tech-support,video-games,not-in-family,0,-35307,2015-01-29,Multi-vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,5779 2nd Lane,19,1,NO,2,3,U,53113,9335,15661,26759,Dodge,Neon,1995,Y
271,37,474651,2006-06-17,IN,500/1000,982,1377.04,-95414,437014,MALE,MD,sales,chess,wife,20733,0,2015-02-17,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Hillsdale,7900 Sky Hwy,10,1,U,2,2,U,96088,13459,8825,50902,Ford,Escape,1997,N
479,45,728845,1992-01-05,OH,250/500,995,1904.79,73291,477608,FEMALE,Masters,protective-serv,bungie-jumping,other-relative,1989,-48693,2015-01-06,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NY,Northbrook,6390 Apache St,19,1,YES,2,3,NO,98187,12392,12666,45278,Chevrolet,Maxima,1996,N
198,27,322228,2006-03-28,IL,250/500,1008,1319.86,149228,596189,FEMALE,MD,tech-support,movies,unmarried,86971,0,2015-02-26,Vehicle Theft,U,Trivial Damage,None,WV,Northbrook,7825 1st Ridge,14,1,U,2,3,NO,16992,721,1635,3365,Nissan,Accord,2003,N
150,33,972048,2002-12-28,OH,250/500,522,1071.26,163162,432751,MALE,Masters,priv-house-serv,movies,unmarried,208,-46825,2015-02-18,Single Vehicle Collision,Rear Collision,Major Damage,Fire,WV,Hillsdale,5236 Weaver Drive,3,1,YES,2,1,U,78445,16960,9771,44696,Chevrolet,Passat,1995,N
320,33,904345,2006-07-12,IN,500/1000,2000,1784.97,-170150,447739,MALE,Masters,transport-moving,dancing,husband,0,-1855,2015-01-08,Multi-vehicle Collision,Front Collision,Major Damage,Police,NY,Northbend,6315 2nd Lane,19,1,U,2,3,U,51671,7348,7286,45681,Nissan,Camry,2003,N
284,52,869865,1997-07-14,IL,500/1000,1007,1440.34,71568,451149,FEMALE,Associate,handlers-cleaners,movies,wife,1523,0,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Columbus,2697 Oak Drive,23,1,YES,1,0,U,34655,5136,7195,26058,Chevrolet,Civic,1998,N
199,32,867108,2006-06-01,OH,250/500,935,1428.74,130471,614732,FEMALE,JD,craft-repair,bungie-jumping,wife,1985,0,2015-01-07,Vehicle Theft,U,Minor Damage,Police,SC,Northbrook,7098 Lincoln Hwy,17,1,U,2,3,NO,17398,2202,2649,9981,Chevrolet,Camry,2007,N
295,40,343805,1998-12-19,IL,250/500,1065,1268.94,7389415,471420,MALE,JD,sales,chess,unmarried,2571,-2140,2015-01-22,Single Vehicle Collision,Front Collision,Minor Damage,Other,PA,Riverwood,3770 Flute Drive,1,1,U,2,2,U,71023,13889,5847,37525,Saab,Malibu,1996,N
257,34,697154,1991-11-25,IL,500/1000,500,690.93,4713974,609541,MALE,JD,sales,paintball,other-relative,43894,-48724,2015-01-01,Single Vehicle Collision,Side Collision,Total Loss,Police,SC,Riverwood,7253 MLK St,5,3,U,1,3,YES,65296,15827,9577,37488,Honda,Tahoe,2006,N
441,38,612733,2013-04-03,OH,100/300,923,1378.52,-15647,464946,MALE,Associate,craft-repair,kayaking,unmarried,40472,0,2015-01-01,Vehicle Theft,U,Minor Damage,Fire,SC,Hillsdale,3771 4th St,11,1,U,0,3,YES,12061,2024,2078,11472,Chevrolet,Passat,2004,N
309,37,702723,2011-12-19,OH,100/300,500,1512.02,-114662,473976,FEMALE,Masters,prof-specialty,base-jumping,unmarried,0,-24214,2015-02-21,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,SC,Arlington,6655 5th Drive,18,3,U,2,1,U,9402,5744,8057,62825,Volkswagen,E400,1999,N
240,38,176497,2002-04-05,IL,100/300,1002,1680.09,-70213,485471,MALE,JD,protective-serv,paintball,not-in-family,673,-55732,2015-02-06,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Northbrook,7628 4th Lane,19,3,U,1,2,YES,68124,8893,6922,60957,Suburu,E400,2010,N
278,27,100804,2000-11-05,IL,500/1000,602,1335.35,121944,459767,MALE,PhD,tech-support,skydiving,husband,53163,-1106,2015-02-14,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NY,Riverwood,8758 5th St,12,3,YES,0,0,NO,70055,11286,16470,33571,Ford,Malibu,1998,Y
79,27,860503,1994-08-03,IL,250/500,990,1726.36,48823,430104,MALE,PhD,exec-managerial,golf,unmarried,0,-23244,2015-02-16,Vehicle Theft,U,Trivial Damage,None,NC,Hillsdale,2533 Elm St,20,1,U,2,1,YES,8544,1328,1437,1200,Toyota,CRV,2004,N
479,31,736099,1997-09-16,OH,100/300,500,1932.64,17851,441782,MALE,College,sales,yachting,not-in-family,69525,0,2015-02-22,Single Vehicle Collision,Side Collision,Minor Damage,Police,NY,Northbend,6608 MLK Hwy,5,1,NO,1,2,NO,87296,19259,23254,32209,Nissan,Pathfinder,2010,N
254,39,759505,2008-09-03,IN,250/500,972,1565.77,20585,489305,MALE,JD,exec-managerial,video-games,wife,50255,-38739,2015-01-22,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Riverwood,2500 Tree St,8,1,U,2,2,NO,66492,6315,8639,45891,Toyota,Camry,2007,N
147,46,652709,2002-06-25,OH,500/1000,997,1329.89,-28416,454562,FEMALE,High School,protective-serv,golf,unmarried,0,-50445,2015-02-09,Parked Car,Side Collision,Major Damage,None,NC,Hillsdale,6359 MLK Ridge,2,1,NO,0,2,U,69690,721,11112,52548,Dodge,Accord,2003,N
62,48,625515,2003-08-23,IL,250/500,2000,1445.64,75938,467495,FEMALE,Masters,other-service,sleeping,wife,68952,-1838,2015-01-14,Vehicle Theft,Front Collision,Total Loss,Fire,OH,Riverwood,9879 Apache Drive,7,2,U,2,2,NO,2043,801,13072,42961,Nissan,A3,2013,N
187,30,612001,2001-07-05,IL,250/500,501,1233.76,-72783,619120,MALE,Masters,adm-clerical,polo,wife,2022,-84787,2015-01-06,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,SC,Northbend,8085 Andromedia St,22,3,NO,1,2,U,92052,8778,9284,70914,Audi,ML350,2013,N
180,61,731581,2003-09-13,IN,250/500,543,1458.56,-67254,599450,FEMALE,PhD,exec-managerial,cross-fit,unmarried,0,-29201,2015-01-25,Single Vehicle Collision,Rear Collision,Major Damage,Police,VA,Riverwood,9523 Solo Hwy,18,3,U,1,0,NO,78786,2931,2921,32679,Jeep,TL,1995,Y
194,28,580617,2001-01-02,OH,250/500,955,1853.57,97781,455987,FEMALE,JD,priv-house-serv,chess,other-relative,1008,-24670,2015-02-12,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,Northbend,6309 5th Ave,15,1,YES,2,2,NO,84173,15462,19532,44271,Toyota,Fusion,2004,Y
114,35,745292,2000-10-18,IN,500/1000,956,1695.81,-144098,491595,MALE,High School,tech-support,bungie-jumping,wife,54411,0,2015-02-18,Multi-vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,6655 5th Drive,6,1,NO,2,0,U,69917,10370,23670,41054,BMW,Malibu,1999,N
447,42,533262,1998-11-11,IL,100/300,1013,1525.93,-83995,597111,FEMALE,PhD,sales,bungie-jumping,unmarried,0,0,2015-01-07,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,Hillsdale,6604 Apache Drive,2,1,YES,2,1,NO,42920,14054,6566,43608,Accura,Highlander,2014,N
221,19,693241,2004-08-13,OH,500/1000,1949,1648.95,80684,604348,FEMALE,MD,prof-specialty,dancing,unmarried,69649,-6874,2015-02-16,Parked Car,U,Trivial Damage,None,WV,Northbrook,1469 Lincoln Drive,23,1,U,2,2,NO,7937,1522,2134,5585,Chevrolet,X5,2001,N
310,41,697145,2009-04-10,OH,250/500,930,1797.72,97314,468893,MALE,MD,exec-managerial,chess,unmarried,1815,0,2015-02-13,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Arlington,2725 Britain Ridge,0,1,YES,2,3,NO,114920,10025,7630,44689,Chevrolet,Maxima,1998,Y
315,50,757256,2008-09-03,OH,500/1000,981,1614.33,6397348,596689,FEMALE,MD,other-service,sleeping,unmarried,993,0,2015-01-02,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Northbend,3930 Embaracadero St,9,1,NO,1,2,U,84207,17750,6180,50804,Accura,Malibu,2008,Y
268,39,981685,1996-08-23,OH,500/1000,507,1930.61,-10062,592641,MALE,MD,handlers-cleaners,kayaking,other-relative,0,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Fire,WV,Northbrook,7954 Tree Ridge,10,3,NO,2,3,U,88268,17833,4818,53222,Chevrolet,X5,1999,Y
281,45,395693,2000-06-04,OH,500/1000,931,1415.79,-17896,488951,FEMALE,Masters,other-service,paintball,other-relative,1649,0,2015-02-05,Multi-vehicle Collision,Front Collision,Major Damage,Police,NY,Northbend,2014 Rock Ave,7,1,NO,0,3,NO,48028,20530,9565,32679,Chevrolet,RAM,2003,N
262,28,304175,2001-06-09,OH,250/500,2000,1703.34,125030,441857,FEMALE,MD,adm-clerical,paintball,wife,3106,-63312,2015-01-24,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,7797 Tree Ridge,0,1,U,2,1,U,88607,12172,0,46952,Toyota,Pathfinder,1996,N
261,47,867920,1998-01-29,OH,250/500,500,1423.46,61008,467835,FEMALE,JD,protective-serv,hiking,own-child,508,0,2015-01-09,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Hillsdale,1353 Washington St,17,1,NO,2,3,YES,82028,15188,6323,57067,Mercedes,MDX,1997,Y
345,31,265291,2003-07-05,OH,500/1000,540,2042.43,-2664,442877,FEMALE,Masters,sales,movies,unmarried,42530,0,2015-02-17,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Northbend,6603 Francis Hwy,19,3,YES,1,3,NO,65996,14304,5522,59941,Chevrolet,A3,1997,N
325,33,903175,2007-12-16,OH,100/300,953,1463.1,6610399,435045,FEMALE,MD,craft-repair,bungie-jumping,unmarried,45075,0,2015-02-16,Multi-vehicle Collision,U,Minor Damage,Police,NY,Northbrook,3930 Embaracadero St,0,1,NO,1,3,NO,70189,0,4248,39214,Mercedes,Jetta,1996,N
194,48,633250,2001-04-21,IN,250/500,500,1343.06,123283,491582,FEMALE,Associate,craft-repair,basketball,unmarried,2447,-45022,2015-01-17,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Hillsdale,3486 Flute Ave,10,1,YES,2,3,U,47679,7039,7584,51398,Toyota,MDX,2007,N
319,33,661678,1994-08-03,OH,250/500,962,1730.65,83288,620569,MALE,College,protective-serv,video-games,own-child,4992,0,2015-01-05,Vehicle Theft,U,Trivial Damage,None,WV,Northbrook,2711 Britain Ave,14,1,U,2,2,YES,10401,2175,1363,2147,Nissan,RAM,1997,N
267,27,193551,2002-04-05,OH,250/500,555,972.95,5406658,620962,FEMALE,Masters,machine-op-inspct,video-games,husband,1116,0,2015-02-26,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,SC,Arlington,8306 1st Drive,10,1,YES,2,3,NO,77045,3138,5998,33403,Chevrolet,Civic,2002,N
226,23,206321,1992-10-02,IN,500/1000,1028,1811.43,90008,610219,FEMALE,JD,farming-fishing,polo,wife,744,0,2015-02-28,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,Springfield,8281 Lincoln Lane,3,3,U,0,2,U,94751,14663,6852,50337,Suburu,93,2003,Y
287,37,980029,1992-01-05,IN,250/500,993,1662.44,117076,445727,FEMALE,PhD,exec-managerial,polo,wife,0,-71561,2015-02-12,Single Vehicle Collision,U,Minor Damage,Police,SC,Riverwood,2500 Tree St,16,1,YES,1,3,NO,550,1474,1234,7382,Accura,Jetta,2006,N
147,27,124963,2009-02-08,IN,100/300,964,1150.45,4414574,452088,MALE,College,prof-specialty,golf,unmarried,0,0,2015-02-12,Multi-vehicle Collision,Front Collision,Minor Damage,Other,WV,Northbend,7782 Rock St,12,3,U,2,1,NO,79064,16107,6622,49856,Nissan,RSX,2013,N
